**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Петроверигский переулок"|"4"||"1, 2, 4"||3123|||||
"Комсомольский проспект"|"16"|"/2"|"1, 2"||3377|||||
"Арбат улица"|"29"||||3378|||||
"Серебрянический переулок"|"2"|"/5/1"|"4"||3379|||||
"Шумкина улица"|"16"||"1, 8"||3380|||||
"Луганская улица"|"4"||"корп. 1"||3381|||||
"Маросейка улица"|"2"|"/15"|"1"||3382|||||
"Маросейка улица"|"9"|"/2"|||3383|||||
"Дровяной переулок"|"4"||"1"||3384|||||
"Сеченовский переулок"|"6"||"3,4"||3385|||||
"Большая Никитская улица"|"19"|"/16"|"1"||3386|||||
"Большая Никитская улица"|"57"|"/46"|"1"||3387|||||
"Большая Никитская улица"|"44"|"/15"|"2"||3388|||||
"Колодезный переулок"|"2"||||3389|||||
"Рогожский Посёлок улица"|"29"||||3390|||||
"Соймоновский проезд"|"вл. 3"||||3391|||||
"Мясницкая улица"|"7"||"8"||3392|||||
"Косыгина улица"|"4"||||3393|||||
"Таганская улица"|"15"|"а"|||3394|||||
"Театральный проезд"|"3"||"3, 4"||3395|||||
"Маросейка улица"|"9"|"/2"|"6"||3396|||||
"Перекопская улица"|"9"||||3397|||||
"Малый Ивановский переулок"|"7-9"||"1"||3398|||||
"Турчанинов переулок"|"6"||||3399|||||
"1-я Радиальная улица"|"4"||||3400|||||
"Мясницкая улица"|"24"|"/ 7"|"1, 2"||3401|||||
"Старосадский переулок"|"9"||"2-2а"||3402|||||
"Мясницкая улица"|"7"||"10"||3403|||||
"Пречистенка улица"|"32"|"/1"|"8"||3405|||||
"Кривоколенный переулок"|"4"||"1"||3406|||||
"1-ый Кадашевский переулок"|"10"||"1, 2"||3407|||||
"3-й Кадашёвский переулок"|"7-9"||"1"||3408|||||
"Электрозаводская улица"|"12"||"1"||3409|||||
"Староваганьковский переулок"|"3"|"/5"|||3410|||||
"Москва М-628 Знаменское-Садки"|||||3411|||||
"Новая Басманная улица"|"4"||"1"||3412|||||
"Брюсов переулок"|"2"|"/14"|"5"||3413|||||
"Ворошиловский парк"|"вл. 5, 8"||||3414|||||
"Милютинский переулок"|"19"|"/4"|"1"||3415|||||
"Милютинский переулок"|"19"|"/4"|"5"||3416|||||
"Большая Ордынка улица"|"43"||"1"||3417|||||
"Малая Ордынка улица"|"35"||"1"||3418|||||
"Пречистенка улица"|"1"|"/2"|||3419|||||
"753 адреса"|||||3420|||||
"Б. Коммунистическая улица (Солженицына)"|"2"|"А"|"2, 3"||3421|||||
"Сретенка улица"|"26"|"/1"|"пом.1"||3422|||||
"Б. Коммунистическая улица (Солженицына)"|"2"|"А"|"1"||3423|||||
"Моховая улица"|"11"||"8Е"||3424|||||
"Старая Басманная улица"|"18"||"1"||3425|||||
"Старая Басманная улица"|"15"|"а"|"4а"||3426|||||
"Баррикадная улица"|"2"|"/1"|"1, 18"||3427|||||
"Баррикадная улица"|"2"|"/1"|||3428|||||
"Бурденко улица"|"23"||||3429|||||
"1-ый Спасоналивковский пер."|"4"||"1"||3430|||||
"Новинский бульвар"|"11"||||3431|||||
"Манежная площадь"|"1"||||3432|||||
"Бауманская улица"|"36"||"1"||3433|||||
"Кузнецкий Мост улица"|"17"||"4"||3434|||||
"Тверской бульвар"|"26"|"/5"|||3435|||||
"Николоямская улица"|"49"||"2"||3436|||||
"Денежный переулок"|"9"|"/6"|||3437|||||
"Госпитальная площадь"|"1"|"/10"|||3438|||||
"Поварская улица"|"52"|"/55"|"3 А, В"||3439|||||
"Пятницкая улица"|"13"|"/21"|"2"||3440|||||
"Старая Басманная улица"|"15а"||"4-4а"||3441|||||
"Елизаветинский переулок"|"10"|"/2"|"3, 6, 9"||3443|||||
"Денежный переулок"|"9"|"/6"|||3444|||||
"Дубининская улица"|"51"||"4"||3445|||||
"Вспольный переулок"|"3"||"1, 2"||3448|||||
"1-й Щипковский переулок"|"26"||"1"||3449|||||
"Гастелло улица"|"44"||"1"||3450|||||
"Бахрушина улица"|"18"||"1"||3451|||||
"Архангельский переулок"|"12"|"/8"|||3452|||||
"Большая Никитская улица"|"46"|"/17"|"1"||3453|||||
"Б. Коммунистическая улица (Солженицына)"|"2А"||"1, 2, 3"||3454|||||
"Бакунинская улица"|"15"||"1"||3455|||||
"Таганская улица"|"1"|"/2"|"9"||3456|||||
"Скаковая улица"|"3"||||3457|||||
"Большая Садовая улица"|"10"||"1"||3459|||||
"Покровка улица"|"22"|"/1"|"1"||3460|||||
"Преображенский Вал улица"|"17"||"3"||3462|||||
"3-й Кадашёвский переулок"|"5"||"1"||3463|||||
"Светлогорский проезд"|"13"||||3464|||||
"Покровка улица"|"38"|"а"|"2"||3465|||||
"Б. Коммунистическая улица (Солженицына)"|"4"||"3"||3466|||||
"Рождественка улица"|"11"||||3467|||||
"Большая Ордынка улица"|"21"|"/16"|"9, 12"||3468|||||
"Никитский бульвар"|"9"||"1"||3469|||||
"Нижняя Сыромятническая улица"|"1"|"/4"|"2"||3471|||||
"Адрес не указан"|||||3472|||||
"Комсомольский проспект"|"13"||||3473|||||
"Бурденко улица"|"11"||||3474|||||
"Сергия Радонежского улица"|"5"|"/2"|"1"||3475|||||
"Гончарная улица"|"12"||"1"||3476|||||
"Никольская улица"|"15"||"1"||3477|||||
"Поварская улица"|"50"|"/53"|"1"||3478|||||
"Никольская улица"|"7-9"||"1,2,5"||3479|||||
"Адрес не указан"|||||3480|||||
"Волхонка улица"|"14"|"/1"|"3, 4, 5"||3481|||||
"Миусская площадь"|"6"||||3482|||||
"Пятницкая улица"|"1"|"/2"|||3483|||||
"Новая Басманная улица"|"29"||"1"||3484|||||
"Воронцовская улица"|"7"||"1,2"||3485|||||
"Воронцовская улица"|"9"|"/1"|||3486|||||
"Никольская улица"|"7-9"|"стр. 6"|||3487|||||
"Лефортово"|||||3488|||||
"Калашный переулок"|"4"|"/1"|||3490|||||
"Мясницкая улица"|"7"|"/3"|"2"||3491|||||
"Козицкий переулок"|"5"||"1"||3492|||||
"Большой Знаменский пер."|"17"||||3493|||||
"Пятницкая улица"|"1"|"/2"|"1"||3494|||||
"Школьная улица"|"27"|"/1"|||3495|||||
"Бакунинская улица"|"81"|"/55"|"1,2,3,4,5,6"||3496|||||
"Симоновский суд"|||||3497|||||
"Спартаковская улица"|"13"||"1"||3498|||||
"Арбат улица"|"44"||"3"||3499|||||
"Большой Строченовский переулок"|"24"||"2"||3500|||||
"Б. Коммунистическая улица (Солженицына)"|"2"|"А"|"1,2,3"||3501|||||
"Ленинградский проспект"|"32"|"/2"|||3502|||||
"Восточная улица"|"4"|"/1"|||3503|||||
"Басманный суд"|||||3504|||||
"Пятницкая улица"|"18"||"1"||3506|||||
"Большой Патриарший переулок"|"7"|"/1"|||3507|||||
"Покровка улица"|"17"||||3508|||||
"1-ый Добрынинский пер."|"15"|"/7"|||3509|||||
"Большой Спасоглинищевский пер."|"9"|"/1"|||3510|||||
"Спасоглинищевский переулок"|"9"|"/1"|||3511|||||
"Мантулинская улица"|"5"||"11"||3513|||||
"Ленинский проспект"|"20"||||3514|||||
"Гастелло улица"|"5"||"1"||3515|||||
"Дровяной переулок"|"13"|"/7"|"1,3"||3516|||||
"Садовническая улица"|"63"||"1"||3517|||||
"Старосадский переулок"|"8"||"1"||3518|||||
"Большая Ордынка улица"|"61"||"2"||3519|||||
"Летняя улица"|"2"||"1"||3520|||||
"Михалковская улица"|"40"||||3521|||||
"Никитский бульвар"|"7"|"Б"|"1"||3522|||||
"Таганская улица"|"13"||"2,3"||3523|||||
"Сытинский переулок"|"5"|"/10"|"5"||3524|||||
"Шелапутинский переулок"|"3"||"1-5"||3525|||||
"Садовая - Кудринская улица"|"7"||||3526|||||
"Большой Спасоглинищевский переулок"|"4"|"/2"|||3527|||||
"Малая Якиманка улица"|"24"||"1-3"||3528|||||
"Большой Лёвшинский переулок"|"8"|"/1"|"1"||3529|||||
"2-й Верхний Михайловский проезд"|"2"||||3530|||||
"4-й Сыромятнический переулок"|"1"||"1"||3531|||||
"Сытинский переулок"|"5"|"/10"|||3532|||||
"Газетный переулок"|"9"||"2,5"||3533|||||
"Малый Златоустинский переулок"|"10"||"3А,Б"||3534|||||
"Голиковский переулок"|"9"||||3535|||||
"Пятницкая улица"|"6"||"1"||3536|||||
"Нижний Кисловский переулок"|"6"||"1"||3537|||||
"Большая Ордынка улица"|"45"|"/8"|"1,3"||3538|||||
"Большой  Дровяной переулок"|"13"||||3539|||||
"Потаповский переулок"|"8"|"/12"|"2"||3540|||||
"Елоховский проезд"|"5"|"/48-50"|"1"||3541|||||
"Корнейчука улица"|"24"||"1"||3542|||||
"Пятницкая улица"|"55"|"/25"|"1"||3543|||||
"Староваганьковский переулок"|"15"||||3544|||||
"Пятницкая улица"|"64"||"1"||3545|||||
"Хитровский переулок"|"3"|"/1"|"3, 2"||3546|||||
"Пречистенка улица"|"10"|"/2"|"1"||3547|||||
"Стромынка улица"|"6"||||3548|||||
"Гагаринский переулок"|"5"||"3"||3549|||||
"Пятницкая улица"|"44"||"1"||3550|||||
"Еготьевский тупик"|"4"||"1"||3551|||||
"Театральная аллея"|"1"||||3552|||||
"Большая Ордынка улица"|"34"||"1"||3553|||||
"Сретенка улица"|"24"|"/2"|"1"||3554|||||
"Большая Тульская улица"|"15"||||3556|||||
"Мясницкая улица"|"19"||"1"||3557|||||
"Волочаевская улица"|"38"||"1"||3558|||||
"Б. Коммунистическая улица (Солженицына)"|"34"||||3559|||||
"Гоголевский бульвар"|"31"||"3"||3560|||||
"Солянка улица"|"11"|"/6"|"1"||3561|||||
"Яузская улица"|"1"|"/15"|"1,2"||3562|||||
"ы"|"2"|"/7"|"1,2,4"||3564|||||
"Старопименовский переулок"|"11"|"6"|"2"||3565|||||
"Никольская улица"|"11-13"||"1"||3566|||||
"Лесная улица"|"18"||||3567|||||
"Мясницкая улица"|"7"||"1,2"||3568|||||
"Пятницкая улица"|"15"||||3569|||||
"Большая Ордынка улица"|"36"||"1"||3570|||||
"Старосадский переулок"|"5"|"/8"|"5-5а, 6"||3571|||||
"Тверской суд"|||||3572|||||
"Таганская площадь"|"88"||"1, 2"||3573|||||
"Старые Кузьминки улица"|"2, 3"||||3574|||||
"Тополевая аллея"|"6"||"1"||3575|||||
"Варварка улица"|"4"|"а"|||3576|||||
"3-ий Голутвинский переулок"|"8"|"/10"|"1"||3577|||||
"Николоямская улица"|"55"||||3578|||||
"Китайгородский проезд"|"7"||"2"||3579|||||
"Б. Коммунистическая улица (Солженицына)"|"20"||"1"||3580|||||
"Б. Коммунистическая улица (Солженицына)"|"1"|"/5"|"7"||3581|||||
"Ильинка улица"|"3"|"/8"|||3582|||||
"Пречистенка улица"|"8"|"/3"|"1"||3583|||||
"Кузнецкий Мост улица"|"11"||"1"||3584|||||
"Солянка улица"|"1"|"/2"|"1,2"||3585|||||
"Арбат улица"|"39"||||3586|||||
"Спартаковская улица"|"16"||"1"||3587|||||
"Земляной Вал улица"|"35"||"1"||3588|||||
"Ленинградское шоссе"|"51"||||3589|||||
"Гончарная улица"|"9"|"/3"|"1"||3590|||||
"Петровский бульвар"|"19"|"/2"|"1"||3591|||||
"Старая Басманная улица"|"30"|"/1"|"2"||3592|||||
"Лялин переулок"|"3"||"1,2"||3593|||||
"Кожевническая улица"|"20"||||3594|||||
"Гранатный переулок"|"4"||"1"||3595|||||
"Кожевническая улица"|"21"||"1"||3596|||||
"Колпачный переулок"|"6"||"2, 3"||3597|||||
"Новая Басманная улица"|"23а"||"2"||3598|||||
"Николоямская улица"|"51"||"2"||3599|||||
"Солянка улица"|"15"|"/18-16"|"4"||3600|||||
"Архангельский переулок"|"10"||"2"||3601|||||
"Кожевническая улица"|"19"||"6"||3602|||||
"Елоховский проезд"|"3"||"1"||3603|||||
"Гончарная улица"|"16"||"1"||3604|||||
"Новинский бульвар"|"17"||||3605|||||
"Старая Басманная улица"|"20"|"  к. 8"|"2"||3606|||||
"Гончарная улица"|"14"||||3607|||||
"Пречистенка улица"|"37"||"1, 2"||3608|||||
"Климентовский переулок"|"1"||||3609|||||
"Михалковская улица"|"38"||"1, 2, 3, 4"||3610|||||
"Карамышевская набережная"|"13"||||3611|||||
"Воронцово Поле улица"|"6"||"13"||3612|||||
"Летняя улица"|"6"||"1"||3613|||||
"Поварская улица"|"8"|"/1"|"2"||3614|||||
"Никольская улица"|"4"|"/5"|||3615|||||
"Маршала Бирюзова улица"|"21"||||3616|||||
"Кадашевская набережная"|"10"||"1"||3617|||||
"1-ы Краснокурсантский проезд"|"7"||"1"||3618|||||
"Восточная улица"|"6"||||3619|||||
"Новинский бульвар"|"25"||"1"||3620|||||
"Сокольнический вал"|"1"||||3621|||||
"Оружейный переулок"|"3"||"1"||3622|||||
"Малый Трёхсвятительский переулок"|"3"||||3623|||||
"Тверской бульвар"|"14"||"5"||3624|||||
"Воронцовский парк"|"2"||"1"||3625|||||
"Тверская улица"|"17"||"1"||3626|||||
"Ленинградский проспект"|"40"||||3627|||||
"Новокузнецкая улица"|"42"||"2"||3628|||||
"Милютинский переулок"|"17"||"1"||3629|||||
"Школьная улица"|"17"||||3630|||||
"Большая Лубянка улица"|"14"||"3"||3631|||||
"Малый Власьевский преулок"|"5"||"2"||3632|||||
"1-й Неаполимовский переулок"|"6"||||3633|||||
"Воронцовская улица"|"6"||"1"||3634|||||
"Большая Полянка улица"|"55"||"2"||3635|||||
"Летняя улица"|"4"||"4, 3, 2"||3636|||||
"Адрес не указан"|||||3638|||||
"Хлебный переулок"|"2"|"/3"|"3, 4"||3640|||||
"Андропова проспект"|"39"||"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13"||3641|||||
"Котельническая набережная"|"1"|"/15"|||3642|||||
"Красная площадь"|"5"||||3643|||||
"Пятницкая улица"|"48"||"4"||3644|||||
"Песочная аллея"|"5"||"3"||3645|||||
"Шухова улица"|"10"||||3646|||||
"Усачёва улица"|"1"||"1, 2, 3, 3а"||3647|||||
"Пятницкая улица"|"12"||||3648|||||
"Джавахарлала Неру площадь, Ломоносовский пр."|"1"||||3649|||||
"Монументальная скульптура"|||||3650|||||
"Школьная улица"|"47"||||3651|||||
"Щетининский переулок"|"10,  12"||||3652|||||
"Летняя улица"|"1"||"1"||3653|||||
"Гранатный переулок"|"22"||"1"||3654|||||
"Звенигородская улица"|"14"||"Б"||3655|||||
"Хохловский переулок"|"10"||"1"||3656|||||
"Русаковская улица"|"7"||"1, 2, 3"||3657|||||
"Пятницкая улица"|"21"||"2"||3658|||||
"Пятницкая улица"|"30"||"1, 3"||3659|||||
"1-я Останкинская улица"|"7"||"2"||3660|||||
"Преображенский районный суд"|||||3661|||||
"Никитский бульвар"|"11"|"/12"|"1-4"||3662|||||
"Товарищеский переулок"|"31"||"1"||3663|||||
"Новинский бульвар"|"25-27"||"8, 10"||3664|||||
"Старая Басманная улица"|"23"|"/9"|"2"||3665|||||
"Садовническая улица"|"63"||"4, 6"||3666|||||
"Бобров переулок"|"5; 7"||||3667|||||
"Новая Басманная улица"|"14"||"1"||3668|||||
"Иваньковское шоссе"|"8"||||3669|||||
"Моховая улица"|"11"||"6"||3670|||||
"Тверская улица"|"19"|"а"|||3671|||||
"Большая Ордынка улица"|"63"||"1"||3672|||||
"Образцова улица"|"27"||||3673|||||
"Столешников переулок"|"9"||"5"||3674|||||
"Контракт"|||||3675|||||
"Ленинский проспект"|"17"||||3676|||||
"Новинский бульвар"|"7"||"3"||3677|||||
"Волоколамское шоссе"|"52"||||3678|||||
"Воронцовский парк"|"6; 7"||||3679|||||
"Петровский бульвар"|"8"||"1"||3680|||||
"Тверская улица"|"31"|"/4"|"1"||3681|||||
"Мясницкая улица"|"24"||||3682|||||
"Тихая улица"|"23"||"1"||3683|||||
"Николоямская улица"|"52"||"1"||3684|||||
"Крапивенский переулок"|"3"||"2"||3685|||||
"Гоголевский бульвар"|"10"|"/11"|"2, 4"||3686|||||
"Садовническая улица"|"10"||"1"||3687|||||
"Пречистенка улица"|"35"||"4, 1,2,3,5"||3688|||||
"Малая Дмитровка улица"|"12"|"/1"|"1"||3689|||||
"Большая Никитская улица"|"9"|"/15"|"1"||3690|||||
"Столешников переулок"|"10"|"/18"|||3691|||||
"Тверская улица"|"14"||"1"||3692|||||
"Шепелев Ф.Л."|||||3693|||||
"Протопоповский переулок"|"19"||"5, 6, 7, 10, 14"||3694|||||
"Большая Ордынка улица"|"17"||"1"||3695|||||
"Каретный Ряд улица"|"3"||"7"||3696|||||
"Яузская улица"|"6"||"1"||3697|||||
"Токмаков переулок"|"23"||||3698|||||
"Токмаков переулок"|"21"|"/2"|"1, 2, 5"||3699|||||
"Сретенский бульвар"|"6"|"/1"|"2"||3700|||||
"Большая Никитская улица"|"5"||||3701|||||
"Абельмановская улица"|"3-5"||"2"||3702|||||
"Петровский переулок"|"5"||"5"||3703|||||
"Средний Кисловский переулок"|"5"|"/6"|"2"||3704|||||
"Чагинская улица"|"14"||"1"||3705|||||
"Ветошный переулок"|"13"|"-15"|||3706|||||
"4-й Рощинский проезд"|"30"||"8, 9, 10"||3707|||||
"Замоскворецкий суд"|||||3708|||||
"Большая Спасская улица"|"1"|"/9"|"1"||3709|||||
"Каланчёвская улица"|"21"|"/40"|||3710|||||
"Верхняя Радищевская улица"|"18"||"2"||3711|||||
"Тверская улица"|"7"||||3712|||||
"Садовническая улица"|"45"||||3713|||||
"1-й Котельнический переулок"|"3"||"1"||3714|||||
"Колпачный переулок"|"10"|"/7"|"3, 4"||3715|||||
"Пречистенка улица"|"32"|"/1"|"2, 7"||3716|||||
"городок имени Баумана"|"1"||"15"||3717|||||
"Измайловское шоссе"|"4"||||3718|||||
"Таганская площадь"|"86"|"/1"|"1"||3719|||||
"Сурикова улица"|"13"||||3720|||||
"Вознесенский переулок"|"9"||"4"||3721|||||
"Маршала Новикова улица"|"3"||||3722|||||
"2-й Новокузнецкий переулок"|"10"|"/1"|"2"||3723|||||
"Ленинские горы"|"1"||||3724|||||
"Волхонка улица"|"8-10"|"/2"|"10, 8"||3725|||||
"Тверская улица"|"6"|"/2"|"2"||3726|||||
"Щепкина улица"|"22"||||3727|||||
"Большая Никитская улица"|"26"|"/2"|"1, 2, 3"||3728|||||
"Березовой рощи проезд"|"3"||||3729|||||
"Большая Якиманка улица"|"вл. 2"|"-4"|||3730|||||
"Подсосенский переулок"|"25"||"3"||3731|||||
"Воронцово Поле улица"|"13"|"/25"|"1, 2"||3732|||||
"Сергия Радонежского улица"|"1"|"/2"|"1"||3733|||||
"Врубеля улица"|"13"|"а"|"1-5, 6"||3734|||||
"Новинский бульвар"|"25"||"1"||3735|||||
"Лазоревый проезд"|"15"||"1"||3736|||||
"Большой Козихинский переулок"|"13, 15"||||3737|||||
"Парк ""Кузьминки-Люблино"""|||||3738|||||
"Новослободская улица"|"14"|"/19"|"1"||3739|||||
"Крымский тупик"|"10"||"1"||3740|||||
"Нижняя Радищевская улица"|"5"||"1"||3741|||||
"Вятская улица"|"41"|"а"|||3742|||||
"Большая Ордынка улица; Кадашевский тупик"|||||3743|||||
"Русаковская улица"|"13"||"3"||3744|||||
"Садовническая улица; Зацепа улица - контракт"|||||3745|||||
"Забелина улица"|"3"||"2"||3746|||||
"Николоямская улица"|"53"||"1, 2, 3"||3747|||||
"Кремлевская набережная"|"1"|"/9/6"|"8"||3748|||||
"Столешников переулок"|"6"||"1, 2, 5"||3749|||||
"Фрунзенская набережная"|"18"||"Д"||3750|||||
"Сурикова улица"|"24"||||3751|||||
"Бахрушина улица"|"30"||"1"||3752|||||
"Панфилова улица"|"6"|"Б"|||3753|||||
"Красноказарменная улица"|"3"||"1"||3754|||||
"Старая Басманная улица"|"20"|"кор. 13"|"1"||3755|||||
"Верещагина улица"|"3"||||3756|||||
"Столешников переулок"|"7"||"1"||3757|||||
"Малая Дмитровка улица"|"16"||"13"||3758|||||
"Мира проспект"|"9"||"1"||3759|||||
"Андроньевская площадь"|"6"||"1"||3760|||||
"Поленова улица"|"8"|"/1"|||3761|||||
"Софийская набережная"|"30"||"2"||3762|||||
"Большая Садовая улица"|"4"||"2"||3763|||||
"Старая Басманная улица"|"19"||"13, 16"||3764|||||
"Сивцев Вражек переулок"|"42"||"5"||3765|||||
"Большая Якиманка улица"|"вл.3"||||3766|||||
"Вильгельма Пика улица"|"вл. 3"||"1-8"||3767|||||
"Хлебный переулок"|"6"||||3768|||||
"Чистопрудный бульвар"|"14"||"3"||3769|||||
"Чистопрудный бульвар"|"2"|||"кв.33"|3770|||||
